Language Name,Language Code,Effective Date,Deleted Flag
Hungarian,HNG,12/6/2001 13:28,N
Hokkien,HO,12/6/2001 13:28,N
Chinese (Xiang),HSN,3/13/2017 13:07,N
Hausa,HUA,12/6/2001 13:28,N
Igbo,IGR,12/6/2001 13:28,N
Ilocano,ILO,12/6/2001 13:28,N
Indonesian,INZ,12/6/2001 13:28,N
Italian,ITN,12/6/2001 13:28,N
Creole (Southwestern Caribbean Creole English),JAM,3/13/2017 13:07,N
Javanese,JAN,12/6/2001 13:28,N
Jarai,JAR,5/16/2003 17:28,N
Japanese,JPN,12/6/2001 13:28,N
Kaba,KAB,8/25/2008 14:19,N
Kachin ,KAC,10/7/2009 10:14,N
Kakwa,KAK,3/31/2016 12:46,N
Karen,KAR,5/16/2003 17:28,N
Karenni - Kayah,KAY,10/10/2015 10:59,N
Kazakh,KAZ,12/6/2001 13:28,N
Kachin - Jingpaw,KCJ,7/15/2015 8:48,N
Kachin - Lisu,KCL,7/15/2015 8:48,N
Kachin - Rawang,KCR,7/15/2015 8:48,N
Kurdi,KDB,12/6/2001 13:28,N
Kirundi,KF,12/6/2001 13:28,N
Kifulero,KFL,6/24/2009 12:05,N
Kiganda,KG,12/6/2001 13:28,N
Kiswahili,KI,12/6/2001 13:28,N
Kibembe,KIB,10/10/2015 10:55,N
Kikongo,KIG,10/10/2015 10:55,N
Kiha,KIH,10/10/2015 10:55,N
Kinande,KIN,4/1/2016 10:08,N
Kissi,KIS,8/25/2008 14:19,N
Kikuyu,KIY,10/10/2015 10:55,N
Kizigua,KIZ,12/5/2003 13:26,N
Khana,KJ,12/6/2001 13:28,N
Kannada,KJV,12/6/2001 13:28,N
Kwakwa,KK,12/6/2001 13:28,N
Korean,KKN,12/6/2001 13:28,N
Kinyamulenge,KLG,6/24/2009 12:05,N
Kigisu,KM,12/6/2001 13:28,N
Khmer,KMR,12/6/2001 13:28,N
Koniaka,KNK,10/10/2015 10:55,N
Chinese (Gan),KNN,3/13/2017 13:07,N
Kinyabwisha,KNY,10/9/2014 11:48,N
Kpelle,KPE,10/10/2015 10:55,N
Krio,KRI,12/6/2001 13:28,N
Kuranko,KRK,10/10/2015 10:55,N
Krahn,KRN,9/27/2002 21:36,N
Kru,KRU,9/27/2002 21:36,N
Kishi,KSH,10/10/2015 10:55,N
Kiteso,KT,12/6/2001 13:28,N
Kuku,KUK,10/10/2015 10:55,N
Kunama,KUN,5/25/2010 0:00,N
Kurmanji,KUR,12/6/2001 13:28,N
Kivira,KV,12/6/2001 13:28,N
Kinyarwanda,KW,12/6/2001 13:28,N
Karenni - Kayan,KYN,7/15/2015 8:48,N
Kyrgyz,KYR,2/21/2003 13:20,N
Karenni - Kayaw,KYW,7/15/2015 8:48,N
Lai ,LAI,10/7/2009 10:14,N
Lao,LAO,5/16/2003 17:28,N
Lari,LAR,10/10/2015 10:55,N
Lautu ,LAU,10/7/2009 10:14,N
